,DB_id,SpielerID,Name,Position,Team,Preis,Gegner,Proj,CS,Turnier_ID,db_ID1,Datum
163,165,175,Martin Montoya,DEF,BHA,4.8,WLV,3.54,0.17,255862,2,06.03.2020
164,166,304,Max Aarons,DEF,NOR,4.5,SHU,3.63,0.17,255862,2,06.03.2020
165,167,301,Kiko Femenia,DEF,WAT,5.3,CRY,3.91,0.29,255862,2,06.03.2020
166,168,81,Ederson,GK,MCI,9.2,ARS,6.97,0.39,255862,2,06.03.2020
167,169,143,Joel Ward,DEF,CRY,6.2,WAT,4.13,0.31,255862,2,06.03.2020
168,170,170,Martin Dubravka,GK,NEW,5.0,SOU,5.465,0.15,255862,2,06.03.2020
169,171,64,Dean Henderson,GK,SHU,9.6,NOR,6.08,0.41,255862,2,06.03.2020
170,172,33,Ben Foster,GK,WAT,6.9,CRY,5.715,0.29,255862,2,06.03.2020
171,173,132,Jordan Pickford,GK,EVE,5.2,CHE,6.19,0.16,255862,2,06.03.2020
172,174,254,Vicente Guaita,GK,CRY,7.5,WAT,5.385,0.31,255862,2,06.03.2020
173,175,150,Kasper Schmeichel,GK,LEI,10.3,AVL,6.11,0.41,255862,2,06.03.2020
174,176,208,Pepe Reina,GK,AVL,4.3,LEI,4.56,0.1,255862,2,06.03.2020
175,177,193,Nick Pope,GK,BUR,6.3,TOT,5.58,0.27,255862,2,06.03.2020
176,178,159,Lukasz Fabianski,GK,WHU,4.4,ARS,5.62,0.12,255862,2,06.03.2020
177,179,35,Bernd Leno,GK,ARS,9.3,WHU,7.04,0.36,255862,2,06.03.2020
178,180,276,Tim Krul,GK,NOR,5.0,SHU,4.895,0.17,255862,2,06.03.2020
179,181,61,David de Gea,GK,MUN,4.6,MCI,6.92,0.14,255862,2,06.03.2020
180,182,14,Alex McCarthy,GK,SOU,9.2,NEW,5.47,0.38,255862,2,06.03.2020
181,183,219,Rui Patricio,GK,WLV,9.4,BHA,6.95,0.43,255862,2,06.03.2020
