DEF,DEF,DEF,DEF,MID,MID,MID,MID,FOR,MID,GK,P,R,O,J
229,224,123,97,,273,65,67,132,89,49,30,,,20.44
223,113,57,98,,273,148,195,170,169,136,256,,,27.08
281,266,57,230,,148,67,270,61,165,45,88,,,36.26
229,223,113,27,,273,65,247,219,169,158,152,,,28.32
217,41,277,71,,148,67,195,81,165,45,30,,,30.38
161,106,71,230,,65,148,40,35,169,136,152,,,27.63
229,161,113,109,,273,65,237,132,216,108,112,,,23.06
223,161,224,97,,273,148,197,81,26,293,111,,,25.2
229,123,166,207,,273,148,195,170,165,220,29,,,28.11
161,41,123,207,,148,67,40,132,216,88,30,,,25.4
229,223,281,207,,273,148,197,254,271,233,154,,,21.83
229,223,123,109,,273,148,40,33,88,89,141,,,25.73
